id,news_url,title,tweet_ids
pheme_144,https://www.reuters.com/article/us-australia-security/hostages-held-in-sydney-cafe-islamic-flag-seen-in-window-local-tv-idUSKBN0JS0WX20141214?feedType=RSS&feedName=topNews&utm_source=twitter,"Hostages held in Sydney cafe, Islamic flag seen in window: local TV",544289893401522177	544281840358801408	544289496758362113	544281787417886721	544315699183636480	544282308686004224	544290056698331136	544283274395537408	544289960246136833	544282525841899520	544281327693201408	544280765111218176	544285119796625409	544282131481255936	544280972061966336	544285598211911682	544281673181822979	544289681190682625	544280954752094208	544281057801932800	544281581012410368
E287,https://www.theguardian.com/world/2015/oct/19/man-24-dies-on-board-dublin-bound-aer-lingus-flight,Man dies on Aer Lingus flight after being restrained - reports,655894442847531008	655892002114965504	655892955236929536	655894195568160769	655894193848479744	655893775282081792	655893775508574208	655893767950499843	655883591054790656	655895688975269888	655892897045327872	655894425629921280	655893822887464963	655884080458788865	655888444476952576	655849519901491200	655889987250982912	655895876863287296	655893773709258752	655894474703241216	655895878822039552	655894400979988480	655894418675728384	655893770928459777	655893761537388545	655893768315400192	655892017868701696	655893778901798912	655895743975264256	655883612433203200
E39,https://nypost.com/2015/12/13/sensitive-principal-bans-santa-and-other-religious-symbols,School principal bans Santa Thanksgiving and Pledge of Allegiance,676046658728304640	676064615726497793	676067782795112448	676019072237223936	676053473406926848	676039470492336128	676070941038764032	676022944573751296	676072127322308608	676023878934781952	676025317740421120	676064800921755648	676060641556193284	676073559693926400	676066404089520128	676064844521578498	676044014156664832	676065243064229888	676056210013990912	676039646577606656	676068903118888961	676036994804269056	676062426203160576	676064563553542144	676065245131964416	676066591612669952	676042054145675264	676068840996929536	676055220766412803	676060307240816640	676059069363445761	676050313091026944	676041035517063169	676061057341870080	676060638280613888	676071613024964608
pheme_328,https://www.ctvnews.ca/canada/canada-will-never-be-intimidated-harper-says-after-shootings-in-ottawa-1.2065443?hootPostID=68375e1e142ebf69f7f5547afa7de7de,"'Canada will never be intimidated,' Harper says after shootings in Ottawa",524927683248279552	524933014737137664	524926312071176192	524926840247709697	524926793506373633	524939698205388801	524926184069808129	524927350522523648	524926727538352129
politifact825,https://web.archive.org/web/20081030004908/http://www.plannedparenthoodaction.org/campaigns/386.htm,Planned Parenthood® Action Center,541443456892432384	31808128370606080	509731000226570240	624717391688286208	79193812504813568	165346694861553664	165317023373590528	169519716522659840	165261361847353344	598518235558871040	165245323516719104	164879527359692801	197514410246422528	20479912112	621793346231480320	165245321708969984	17474869730	489972916692738049	352758335025582083	532763426217414656	516337497475788803	170510963454390272	293956467109793793	32842151247216640	621774062658805760	489467318733262848	32839203188383746	2009170464	621784664772980736	428502371509878785	644978252138827776	644978200209162240	636263864858902528	605957382108147712	482672416368635904	582986652622065664	232643551152979968	488132140983255041	605992586260512769	591363573063888896	599366885361192960	27173600923	624732136902402049	213505443346120704	314363758426349571	486633066303995904	486973928724631552	200994130334203904	542844992386240512	557722907896709120	431937307659075584	636573085177528321	164541745441415168	93237751603924992	79222956403867648	475069569531265024	541797934543540224	580039196821340160	166424675449176064	541916304534278144	580047239323717632	32847217324728321	587006374493622272	123175885225463808	584211459665559552	566327253341306880	490237986043224064	621783864017555456	370084062678900736	553910918996713472	349778114026541056	165263353885900800	165266983795965952	32842605867827200	189430994229657600	597946321044045824	165262965514309633	86221984488374273	532594572543524864	624717392153866240	507515160341520384	165269655127199745	413766192545808385	652620372014198784	256105006191738880	25939976352	646567397768470528	541713798717923328	486617482405240832	489476778038423552	559918277514645504	605875289118240769	557693276732792832	256105006040748032	413778741983059969	605774040523882497	624718177440825349	621929786420690944	26108498560	441798787015532544	622138737460412417	188990568028831744	429801093929775104	605790639893004290	165245329116119040	526370819598188544	256105038555004929	491924220947877888	49161435795828736	474271799870779392	533311751064788993	644987408153485312	543855918732300290	560108283848314881	490041755555737602	595767967654223873	582980278337011712	605901101599064070	93038777634791424	1291944169	489901942609440768	621840092274032640	553981706529562624	444128547066499072	624747239550939137	32844763501694976	490580611271106560	26012702343	566706415675244544	490206203905990657	636265316385841152	39164336391847936	575207695252328448	361110156018327553	624958672884658176	602197920990044160	418081682034405376	582643919734882304	621802324197969921	541028448999731200	259366092378607616	499231081543909377	365943022598369281	66350809176211457	165245322577182720	304982186048749568	368387079446605824	575349291272773632	607664451077013504	525482827115401216	309361781829169153	32847979610116096	606097762174779392	625019916886900736	93057838166982656	495613488874524672	610637507743629312	491949969889193986	486941992991985664	414552342831185922	314363760796119040	624958597290684416	479368193861881856	559817163360329729	367794610908569600	543614144025747456	18242691758297088	575164883102097408	605910489298694145	165417233445687296	306808786423783425	624718177918914560	541360143288762369	521782505318670336	151145256216297472	489021417514467329	621831896964722693	595046751549190144	621952247849578496	624958593650065408	314445030318297088	254487022180384768	213505498589306880	579320788702109696	606487234200469506	489117478560096257	55948474776162304	487617365396307969	430409056592072704	351760498452209664	165264278058831872	606008531402121217	648873841020768256	580036496180178944	624718177939943424	624747172685348864	605750885952692226	575084576395149312	165270891276664833	259555559668338688	234341091447541760	608053894921527296	585285331559124992	489455367454064640	6876454535	624732139494481920	621785688648884224	482756629578801152	560473927437524993	463806910483820544	256238178430758913	624762244379865088	1742589752	57786092677644288	165245324045201408	489468974506049536	93410266942939137	497460737443233792	93070514876203009	495597428955811843	487669201298284544	234336063437537280	431389991978037248	557727116981469184	314363749928689665	541022691218571264	29457661507	940786300	370293193561997312	585562894689009664	165255404736094208	489459712308834304	645095520185126912	136911648416997376	575086825322188801	579855549388460032	486929967171633152	93143996758630400	165278512134098944	2714835317	41455568593879040	93150583611068416	547433897198641152	486627808320315392	524269716546674688	272823617736286208	164894173365940224	9003819054	583118415604240385	40937121812459520	624732136592015360	328915826537291776	557693274597900288	875338882254077953	536768355483394048	515198846008168448	165245325756477440	487064624492068864	487265351768363009	582946225734856704	611666714745401344	165463406999113728	497183597754085376	356050291906453505	542787808511799296	621767044711759872	488788033915715584	165254554072514560	580954634111426561	328917300797374465	621928411741564928	17003698874	488705602491658241	624732138227789824	565975659277983746	314363811194888193	426841152306700290	165250494288248832	94065359010807808	1275591701	581668618368360448	43392749457768449	29397728314	360137555120881664	427900718813425664	488752227020845056	602291300050796545	605886788704403456	3131178203	165245324628201472	507531230209126400	605803476606578688	260332077570985984	559817074373955584	366844428880588804	237910943324065793	489411625678426112	354775596271804416	314474613369348096	465261638707208192	621770050752655360	559797495870783489	165252488197451776	624717392158048256	597891246951129088	93314489751056385	1050404025638801411	622140030606311425	511346698409353216	328844031385800706	17558806462	12207787511	205064082510974976	1984679010	427846006697242624	492026893789454336	406345351130390529	32911910168952833	571528001235517440	621871834389069824	515217055529050112	567721858624016385	585235672832811008	427865278198714368	429801014414155776	165260246078603265	360494918965280768	446325426441306113	491825965127856128	624717391939956736	314445050866192384	605762619132149760	165268970864254976	371273809396908032	644937327735926784	54950624151875584	238016169355931648	575114255432712192	621831104136351744	6277807857	165248007816753152	197326119945510912	429789192478945280	495613595728633857	431394732778868737	3131532708	606195166886522880	585560734278496256	138196439410032640	275654011514916864	644989366050254848	540536302685270017	522515551537864704	605757723175714817	165263378540003330	605747934643286016	6876407887	166350335433129986	620618855296073728	165245320803008512	605910320654073856	624717391906361344	165277751086026755	575038083193704448	606462592513634304	202751103362801664	607258087221805056	474378601693847552	561199738880794625	621822206088081408	32857506770321408	542535914908811264	314363841683279873	487998762162192384	557776352733319168	32838268726808576	541428306995077120	474706732195659776	488858038736932864	622450917506445312	489472165096726528	165261702991065088	606220256466620417	6070227242	258673344436649984	542747874866368512	584140969601269760	32835499777335296	306975342650859520	1986389110	621780950414938112	429336771977936897	489025395019505665	165261359657918465	165247568614395904	644988149576429568	605772654788767744	32841926835183616	1951391094	605760661197570048	3037083769769984	626170914296610816	624718177608572928	93038659577716736	488128424217554944	489156293991469057	207580906985238528	466792919110647808	621792772186451968	466193246943596544	165261691351863297	1722299975	522530424590196736	166173780652204032	6276395166	165246891821506560	489957828996517888	624747239362138112	605812449061695489	605754149653880832	165251768769449984	214880641806905344	256236790464274433	605836877124366336	164922500273287170	165251281110319104	10983217240	389027856485199872	621810299671150592	606108533290070016	583285794384822273	541977780733231106	489422796179931136	414756210202521600	29397998950	559787473581404161	488733332939603968	539969227378012161	1995830540	370550915461165056	486640408047255552	165579643133509632	489412463616880641	580910170080817152	165250778590752769	492310869858983936	136946192998346754	637143601286246400	647213698898071552	31768271506112513	555794247300173824	427828583319343104	633306074276319232	646152416379863040	621845739824480256	542585233032228864	428947206763077632	488729586293673984
E644,https://www.change.org/p/oakland-county-michigan-circuit-court-release-the-three-tsimhoni-siblings-from-children-s-village-juvenile-detention-center-freetsimhonikids,Petition · oakland county michigan circuit court: Release the three Tsimhoni siblings from Children's Village juvenile detention center. #FreeTsimhoniKids · Change.org,619125015531884544	619108976404381696	619109135863431168	619109643395158016	619113472530489344	619090463304327168	619108310281793536	619108686028537856	619111963327614976	619125372001632256	619112292790214656	619126289371369472	619111556626935808	619119273210945536	619110085097340928	619125648804716544	619107924405800960	619116920357392384	619112127618490368	619119829593772032	619124449942634496	619110191192215552	619109481838968832	619109233783611392	619108048859176960	619107523266801664	619126204952641536	619111681990479872	619114206760169472	619109972811583488	619126684747481088	619119990919294976	619114723146092544	619108825740611585	619124843997450240	619108189607460864	619113859962564608	619114314234994688	619108568424402944	619119051202240512	619127257496485888	619107785012310016	619127397724614656	619115454120992768	619003531442323456	619111834759634944	619111879223418880	619120081025548288	619125144854896640
pheme_404,https://web.archive.org/web/20150107221809/http://fw.to/QMkORBg,,553527712732954624	553509680870596608	553504145307496450	553549250324619266	553515818936709120	553526488348123136	553516261842628608	553501224977592320	553502137041166336	553539951069892610	553564315882901504	553564258211229697	553501045511708672	553527773017702400	553504862118629376	553517478782197760	553526235473936384	553505754528108544	553500238246608896	553542130334171137
E405,http://www.occuworld.org,OccuWorld Global Truth Magazine,639886744545042432	639846981444239360	639818301581889536	639830444385673216	639800704295698432	639800833366818820	639887461502554112	639794853417631744	639848253761130496	639856059365113856	639794510172659713	639861275426725889	639874721211916289	639854946205192193	639828756102713345	639795192271245313	639797964848828417	639802475852075008	639878132862992384	639849955918639104	639851916097404928	639794829904465920	639801662727569408	639806168530067456	639857241802149890	639799098200031232	639807779344117761	639878214685364224	639830160003362816	639812728735961088	639853501426757636	639808932215558144	639801246895861761	639849743749935105
pheme_108,https://news.yahoo.com/pilot-german-airbus-crash-locked-cockpit-york-times-234950004--sector.html,Pilot in German airbus crash was locked out of cockpit: New York Times,580889814955909120	580895557763350528	580885624883904512	581060749675479040	580968823991373824
TM33,https://www.telegraph.co.uk/news/worldnews/northamerica/usa/7625902/Killer-to-face-firing-squad.html,Killer to face firing squad,12722888228	12715366558	12719749911	12719868985	12719911021	12731532000	12715418761	12723074433	12723139587	12754228320	12715433951	12754806462	12719734904	12722905943	12719748883	12719972983	12766203582	12715213459	12722709945	12714983125	12719523354	12723283952	12762295610	12719938887	12715304532	12715260374	12722982050	12723106485	12762461047	12719579963	12720071422	12719992239	12720009939	12715601930	12719673972	12723107893	12719530365	12722695829	12719697694	12719749050	12719866657	12731061119	12723074169	12719548487	12715550850
